model number 0 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.8137454390525818, 0.6847826242446899, 0.6949624419212341, 0.6847826242446899]
model number 1 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7551798820495605, 0.75, 0.7589796781539917, 0.75]
model number 2 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7370378375053406, 0.77173912525177, 0.7746974229812622, 0.77173912525177]
model number 3 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.8487048745155334, 0.6739130616188049, 0.6614421606063843, 0.6739130616188049]
model number 4 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7963666319847107, 0.739130437374115, 0.7424873113632202, 0.739130437374115]
model number 5 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7112348079681396, 0.77173912525177, 0.7761455774307251, 0.77173912525177]
model number 6 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7043383121490479, 0.79347825050354, 0.7980180382728577, 0.79347825050354]
model number 7 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7736449241638184, 0.77173912525177, 0.7770176529884338, 0.77173912525177]
model number 8 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.8319681286811829, 0.695652186870575, 0.6737638711929321, 0.695652186870575]
model number 9 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.8076691031455994, 0.717391312122345, 0.7197613716125488, 0.717391312122345]
model number 10 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7566462755203247, 0.739130437374115, 0.7448305487632751, 0.739130437374115]
model number 11 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7842203378677368, 0.77173912525177, 0.7760048508644104, 0.77173912525177]
model number 12 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.8823396563529968, 0.72826087474823, 0.7371429204940796, 0.72826087474823]
model number 13 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7313918471336365, 0.79347825050354, 0.7982953786849976, 0.79347825050354]
model number 14 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7434443831443787, 0.77173912525177, 0.776557207107544, 0.77173912525177]
model number 15 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.8258626461029053, 0.6847826242446899, 0.6901841163635254, 0.6847826242446899]
model number 16 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7402920722961426, 0.75, 0.7555291652679443, 0.75]
model number 17 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.8181188702583313, 0.6847826242446899, 0.682005763053894, 0.6847826242446899]
model number 18 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.9644194841384888, 0.5978260636329651, 0.5506898760795593, 0.5978260636329651]
model number 19 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7779960632324219, 0.6739130616188049, 0.6641979813575745, 0.6739130616188049]
model number 20 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7735547423362732, 0.6847826242446899, 0.68370121717453, 0.6847826242446899]
model number 21 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.8648737072944641, 0.6413043737411499, 0.63692307472229, 0.6413043737411499]
model number 22 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7848750948905945, 0.72826087474823, 0.7369722127914429, 0.72826087474823]
model number 23 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7466018795967102, 0.77173912525177, 0.7770681977272034, 0.77173912525177]
model number 24 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7943584322929382, 0.70652174949646, 0.7128017544746399, 0.70652174949646]
model number 25 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7842409014701843, 0.760869562625885, 0.7591255903244019, 0.760869562625885]
model number 26 metric: ['loss', 'categorical_accuracy', 'macro_f1', 'micro_f1'] : [0.7580291032791138, 0.782608687877655, 0.7855269908905029, 0.782608687877655]
